Museum_Name,Museum_ID,State
"A D BUCK MUSEUM",8404000106,OK
"A E BEAN BACKUS GALLERY & MUSEUM",8401200907,FL
"A FRENCH AMERICAN MUSEUM OF CHICAGO",8401701251,IL
"A J DREXEL PICTURE GALLERY",8409502662,PA
"A L LEWIS HISTORICAL SOCIETY",8401201039,FL
"A LIGHT IN THE WORLD MUSEUM",8405400048,WV
"A P B A HISTORICAL SOCIETY",8402600608,MI
"A W PERRY HOMESTEAD MUSEUM SOCIETY",8404800795,TX
"A. JEWELL SCHOCK NATURAL HISTORY MUSEUM",8409501095,NE
"A. PHILIP RANDOLPH PULLMAN PORTER MUSEUM",8401700857,IL
"A.D. BUCK MUSEUM OF NATURAL HISTORY AND SCIENCE",8409501096,OK
"A.E. HOWELL WILDLIFE CONSERVATION CENTER & SPRUCE ACRES REFUGE",8409400019,ME
"A.E. SEAMAN MINERALOGICAL MUSEUM",8402600223,MI
"A.M. AND ALMA FIEDLER MEMORIAL MUSEUM",8409501286,TX
"A.M. BROWN HOUSE",8409501247,AL
"A.W. PERRY HOMESTEAD MUSEUM",8404801829,TX
"A.W.A. ELECTRONIC-COMMUNICATION MUSEUM",8409400020,NY
"AARON DOUGLAS GALLERY",8409502663,TN
"ABBE MUSEUM",8402300091,ME
"ABBEVILLE COUNTY HISTORICAL SOCIETY",8404500372,SC
"ABBEVILLE CULTURAL & HISTORICAL ALLIANCE",8402200362,LA
"ABBEY WEED GREY GALLERY FUND",8402700659,MN
"ABBITT PLANETARIUM",8409500231,VA
"ABBOT HISTORICAL SOCIETY",8402300288,ME
"ABBOT-DOWNING HISTORICAL SOCIETY",8403300108,NH
"ABERCROMBIE GALLERY",8409502664,LA
"ABERDEEN HERITAGE TRUST",8402400291,MD
"ABERDEEN HUNGINGTON TOWNSHIP MUSEUM",8403901423,OH
"ABERDEEN MUSEUM",8405300442,WA
"ABERDEEN ROOM ARCHIVES AND MUSEUM",8402400660,MD
"ABIGAIL ADAMS HISTORICAL SOCIETY",8402500652,MA
"ABILENE CHRISTIAN UNIVERSITY MUSEUM",8409501287,TX
"ABILENE PRESERVATION LEAGUE",8404801472,TX
"ABILENE SMOKEY VALLEY RAILROAD ASSOCIATION",8402000417,KS
"ABILENE ZOOLOGICAL SOCIETY",8404801431,TX
"ABINGDON HISTORICAL SOCIETY",8401701154,IL
"ABINGTON ART CENTER",8404200487,PA
"ABINGTON HISTORICAL SOCIETY",8401800697,IN
"ABOVE & BEYOND CHILDREN'S MUSEUM",8405500590,WI
"ABQ BIOPARK BOTANIC GARDEN",8409501912,NM
"ABRAHAM BROWNE HOUSE",8402500197,MA
"ABRAHAM FETTERS-WHITE SCHOOL",8404201611,PA
"ABRAHAM LINCOLN ASSOCIATION",8401701206,IL
"ABRAHAM LINCOLN BIRTHPLACE NHP",8402100479,KY
"ABRAHAM LINCOLN BRIGADE ARCHIVES",8403600802,NY
"ABRAHAM LINCOLN FOUNDATION",8404200768,PA
"ABRAHAM LINCOLN LIBRARY AND MUSEUM",8404700347,TN
"ABRAHAM LINCOLN PRESIDENTIAL LIBRARY & MUSEUM",8401701136,IL
"ABRAHAM STAATS HOUSE",8403400511,NJ
"ABRAM DEMAREE HOMESTEAD",8403400256,NJ
"ABRAMS PLANETARIUM",8409500232,MI
"ABSECON HISTORICAL SOCIETY",8403400337,NJ
"ABSENTEE-SHAWNEE TRIBE OF OKLAHOMA",8404000010,OK
"ACADEMY ART MUSEUM",8402400603,MD
"ACADEMY BUILDING MUSEUM",8401800132,IN
"ACADEMY HALL MUSEUM",8400900106,CT
"ACADEMY INTERACTIVE ARTS SCIENCES",8400602841,CA
"ACADEMY OF ART UNIVERSITY AUTO MUSEUM",8409501289,CA
"ACADEMY OF CULTURAL & HISTORICAL EXCELLENCE",8402100154,KY
"ACADEMY OF MODEL AERONAUTICS/NATIONAL MODEL AVIATION MUSEUM",8409400021,IN
"ACADEMY OF MOTION PICTURE ARTS AND SCIENCES MUSEUM",8409401140,CA
"ACADEMY OF NATURAL SCIENCES OF DREXEL UNIVERSITY",8409501097,PA
"ACADEMY OF SCIENCE OF ST LOUIS",8402900309,MO
"ACADIA NATIONAL PARK",8402300562,ME
"ACADIAN HERITAGE & CULTURE FOUNDATION",8402200340,LA
"ACADIAN MUSEUM",8402200087,LA
ACCINOSCO,8403601706,NY
"ACCOHANNOCK INDIAN TRIBE",8402400489,MD
"ACCOUNTANCY MUSEUM OF THE TEXAS SOCIETY",8404801672,TX
"ACE BASIN NATIONAL ESTUARINE RESEARCH RESERVE",8409400022,SC
"ACE MUSEUM",8400601055,CA
"ACEQUIA MADRE HOUSE",8403500101,NM
"ACES MUSEUM HONORING BLACK & MINORITY VETERANS OF WWII",8404200871,PA
"ACHESON PLANETARIUM",8409500233,MI
"ACKLAND ART MUSEUM",8409502665,NC
"ACKLEY HERITAGE CENTER",8401900447,IA
"ACME HERITAGE SOCIETY",8402601093,MI
"ACRES HOMES HISTORICAL SOCIETY",8404800735,TX
"ACROSS THE BRIDGE EASTSIDE CHILDREN'S MUSEUM",8405300505,WA
"ACRYLIC MUSEUM",8400600555,CA
"ACTION WILDLIFE FOUNDATION",8400900233,CT
"ACTON ARBORETUM",8402500458,MA
"ACTON HISTORICAL SOCIETY",8402500362,MA
"ACWORTH HISTORICAL SOCIETY",8403300232,NH
"AD GALLERY",8409502666,WA
"ADA HISTORICAL SOCIETY",8402600338,MI
"ADAIR COUNTY HISTORICAL SOCIETY",8401900400,IA
"ADAIR HERITAGE ASSOCIATION",8402100266,KY
"ADAM BRINSON HISTORICAL SOCIETY",8401300317,GA
"ADAM EAST MUSEUM AND ART CENTER",8405300134,WA
"ADAM LEVENTHAL MEMORIAL SCHOOL & MUSEUM CALIF PUB BENEFIT COMPANY",8400600640,CA
"ADAM THOROUGHGOOD HOUSE",8405101070,VA
"ADAMS COUNTY HISTORICAL SOCIETY",8400800681,CO
"ADAMS HISTORICAL SOCIETY",8402500423,MA
"ADAMS MEMORIAL SOCIETY",8401200284,FL
"ADAMS MILL",8401800255,IN
"ADAMS MUSEUM",8404600043,SD
"ADAMS NATIONAL HISTORICAL PARK",8402501131,MA
"ADAMSON HOUSE MUSEUM",8400600608,CA
