Museum_Name,Rating
"East Texas Oil Museum",27.2
"Edgar Allan Poe Museum",51.8
"El Paso Museum of Art",25.2
"Elliott Museum",63.6
"Ellis Island Immigration Museum",219
"Elverhoj Museum",14.6
"Elvis Presley Birthplace & Museum",166.4
"Erie Canal Museum",45.8
"Erotic Heritage Museum, Las Vegas",19.2
"ESSE Purse Museum",19.6
"Estes Park Museum",21
"Estrella Warbird Air Museum",22.6
"Evansville Museum of Arts, History & Science",16.2
"Evergreen Aviation & Space Museum",203.8
"Explore More Discovery Museum",14.6
"Fairbanks Museum and Planetarium",20.4
"Fairhope Museum",17.2
"Farnsworth Art Museum",111.4
"Fenimore Art Museum",86.8
"Fernbank Museum of Natural History",132.4
"Figge Art Museum",35.4
"Fire Museum of Memphis",22.6
"First Division Museum at Cantigny",32.8
"Florida Holocaust Museum",67
"Florida Museum of Natural History",110.6
"Forney Museum of Transportation",53.6
"Fort Bliss and Old Ironsides Museums",19
"Fort Collins Museum of Discovery",30.4
"Fort East Martello Museum",56.8
"Fort Lauderdale Antique Car Museum",49
"Fort Monroe's Casemate Museum",62.2
"Fort Pitt Museum",25.4
"Fort Worth Museum of Science & History",67
"Fountainhead Antique Auto Museum",116.2
"Frankenmuth Historical Museum",27.8
"Franklin D. Roosevelt Presidential Library and Museum",179.4
"Franklin G. Burroughs - Simeon B. Chapin Art Museum",40
"Franklin Museum",14.8
"Frazier History Museum",99.4
"Fred Jones Jr. Museum of Art",20
"Frist Center for Visual Arts",118
"Frontiers of Flight Museum",46.6
"Galena / Jo Daviess County Historical Society and Museum",38.8
"Gallatin History Museum",12
"Galveston Island Railroad Museum and Terminal",71.2
"Gangster Museum of America",72.6
"Geneva Lake Museum of History",19.4
"George Bush Presidential Library and Museum",132
"George Eastman Museum",126.4
"George Jones Entertainment Complex",75.6
"Georgia State Railroad Museum",88.6
"Geppi's Entertainment Museum",30.6
"Gerald R. Ford Museum",123.6
"Geronimo Springs Museum",34.2
"Gettysburg Heritage Center",49.2
"Gettysburg Seminary Ridge Museum",77
"Ghost Town Museum",39
"Gibbes Museum of Art",20
"Gilcrease Museum",111.4
"Gilmore Car Museum",72.2
"Glazer Children's Museum",53.4
"Glenn H. Curtiss Museum",70.4
"Glore Psychiatric Museum",32.2
"Golisano Children's Museum of Naples",46
"Grand Rapids Public Museum",89.2
"Graveyard of the Atlantic Museum",64.6
"Great Lakes Shipwreck Museum",109.2
"Greensboro Children's Museum",34.8
"Greenville County Museum of Art",27.4
"Grohmann Museum",21.2
"GulfQuest National Maritime Museum of the Gulf of Mexico",26.2
"Hammer Museum",17.8
"Hampton Roads Naval Museum",12.4
"Hank Williams Museum",28.8
"Harland Sanders Cafe and Museum",57.8
"Harry S. Truman Library and Museum",178.4
"Harvard Art Museums",39.8
"Harvard Museum of Natural History",127.6
"Harwood Museum of Art",26.8
"Henry B. Plant Museum",92.8
"Henry Morrison Flagler Museum",170.6
"Heritage Museums & Gardens",119.6
"High Desert Museum",243.2
"High Museum of Art",276.8
"Hill Aerospace Museum",83.4
"Hillwood Museum & Gardens",157.6
"Hirshhorn Museum and Sculpture Garden",94
"Historic Arkansas Museum",25.2
"Historic Pensacola Village",47.4
"Historic Railpark and Train Museum",28.8
"History Colorado Center",71.6
"History Museum of Mobile",35.2
"History of Diving Museum",104.4
"Hollywood Star Cars Museum",178
"Hollywood Wax Museum",38
"Holocaust Museum Houston",110
"Honolulu Museum of Art",133
"Houston Museum District",99.4
"Hubbard Museum of the American West",14.6
"Hudson River Museum",15.2
"Hunter Museum of American Art",74.4
