Museum_Name,Rating
"U.S.S. Cairo Museum",167.8
"Union Pacific Railroad Museum",37.6
"Union Station",34.8
"University of Alaska Museum of the North",269.8
"University of Michigan Museum of Art",30.6
"University of Michigan Museum of Natural History",21.4
"University of Nebraska State Museum",21.8
"Upcountry History Museum",18.4
"US Army Museum of Hawaii",249.4
"USS Silversides Submarine Museum",36
"Utah State Railroad Museum",11.8
"Valiant Air Command Warbird Museum",40
"Vero Beach Museum of Art",60.8
Vesterheim,24
"Veterans Memorial Museum",64.2
"Villa Zorayda Museum",51.8
"Virginia Aviation Museum",12.8
"Virginia Holocaust Museum",51.8
"Virginia Living Museum",97.2
"Virginia Museum of Transportation",79.8
"Virginia War Museum",20.4
"Vulcan Park and Museum",150.4
"Wadsworth Atheneum Museum of Art",66.6
"Walton's Mountain Museum",32.2
"Warther Museum",53.2
"Washington County Museum of Fine Arts",18.8
"Washington State History Museum",30.8
"Weisman Art Museum",30.2
"Wells Fargo History Museum",17.8
"West Point Museum",53.4
"West Virginia State Museum",47.4
"Western Spirit: Scottsdale's Museum of the West",41.4
"Whaling Museum",184.6
"Wheels Through Time Transportation Museum",196
"Wheelwright Museum of the American Indian",49.6
"White Sands Missile Range",55.4
"Whitney Museum of American Art",300.8
"Wichita Art Museum",19
"Williams College Museum of Art",33.4
"Wilmington Railroad Museum",37.6
"Wing Luke Museum of the Asian Pacific American Experience",39.6
"Wings Over the Rockies Air & Space Museum",81.4
"Wisconsin Auto Museum",8.4
"Wisconsin Historical Museum",11.6
"Wisconsin Maritime Museum",60
"Wisconsin Veterans Museum",32.8
"Witch Dungeon Museum",86.2
"Witte Museum",55.4
"Woolaroc Museum & Wildlife Preserve",65.8
"Worcester Art Museum",78
"World Erotic Art Museum (WEAM)",41.6
"World of Chocolate Museum and Cafe",100.8
"World's Largest Toy Museum",81.4
"Wrangell Museum",16.8
"Wright Museum of WWII",34.4
"Wyoming State Museum",50.6
"Yale Peabody Museum of Natural History",71
"Yale University Art Gallery",108
"Zippo / Case Museum",41.6
"Zwaanendael Museum",20.6
